name,auc_roc,auc_pr,f1,precision,recall,mcc,best_threshold,time_s
Ensemble (lgbm_tuned+xgb+per_ap),0.9354,0.4161,0.4489,0.3789,0.5504,0.425,0.4876,
XGBoost tuned (1500 trees),0.9365,0.419,0.4478,0.3498,0.622,0.4325,0.6281,50.0
Stacking (LR sur 5 modeles),0.9352,0.4157,0.4469,0.3653,0.5756,0.4258,0.1536,
LightGBM tuned (2000 trees),0.9338,0.4091,0.4398,0.3554,0.5767,0.4191,0.5388,61.5
Random Forest balanced,0.9345,0.4049,0.4392,0.3596,0.5641,0.4172,0.5629,161.9
XGBoost balanced,0.9327,0.4053,0.4331,0.37,0.5223,0.4073,0.6057,37.6
LightGBM per-airport,0.926,0.3831,0.4315,0.3496,0.5634,0.4098,0.2474,
LightGBM balanced,0.9308,0.3975,0.4312,0.3524,0.5554,0.4086,0.5813,35.3
LightGBM scale_pos_weight=21,0.9306,0.4012,0.4306,0.3592,0.5375,0.4062,0.5701,33.3
Logistic Regression balanced,0.917,0.2919,0.3888,0.2983,0.5581,0.3692,0.8149,41.8
